"""","居住世帯のある住宅総数","便所(共用も含む)_水 洗","便所(共用も含む)_水洗ではない","敷地に接している道路の幅員_ 接して いない","敷地に接している道路の幅員_2ｍ未満","敷地に接している道路の幅員_2～4ｍ未満","敷地に接している道路の幅員_4～6ｍ","敷地に接している道路の幅員_6～10ｍ","敷地に接している道路の幅員_10ｍ～"
"昭和48年(1973年)","287700.0","34000.0","253800.0","　　　　　　…","","…","…","　　　　　  …",""
"昭和53年(1978年)","311300.0","67700.0","243600.0","　　　　　　…","","…","…","　　　　　　…",""
"昭和58年(1983年)","320600.0","97500.0","223000.0","16400.0","56400.0","135900.0","78900.0","        33,000",""
"昭和63年(1988年)","329600.0","126600.0","202100.0","12500.0","55600.0","134400.0","90000.0","32600.0","4400.0"
"","","","","","","","","",""
"平成 5年(1993年)","346600.0","170900.0","174700.0","9700.0","49300.0","146600.0","100000.0","37200.0","3900.0"
"平成10年(1998年)","364900.0","214900.0","145400.0","7800.0","57600.0","149600.0","107100.0","35300.0","7500.0"
"平成15年(2003年)","375400.0","257500.0","118500.0","8700.0","54700.0","172700.0","98800.0","32700.0","7800.0"
"平成20年(2008年)","382100.0","288300.0","88700.0","9600.0","44100.0","147100.0","121500.0","50200.0","9500.0"
"","","","","","","","","",""
"平成25年(2013年)","388100.0","…","…","10100.0","42800.0","156000.0","126800.0","43300.0","9000.0"
"","","","","","","","","",""
"　和歌山市","153140.0","…","…","2370.0","10380.0","52860.0","61150.0","22120.0","4240.0"
"　海 南 市","20230.0","…","…","600.0","3990.0","9080.0","5190.0","1050.0","320.0"
"　橋 本 市　","22850.0","…","…","600.0","1930.0","7450.0","9220.0","2900.0","750.0"
"　有 田 市","10350.0","…","…","120.0","1950.0","5130.0","2660.0","460.0","30.0"
"　御 坊 市","9500.0","…","…","80.0","1290.0","4430.0","2730.0","840.0","140.0"
"　田 辺 市","30870.0","…","…","1720.0","3950.0","12460.0","9010.0","3050.0","680.0"
"　新 宮 市","13790.0","…","…","680.0","1930.0","5170.0","4520.0","1150.0","340.0"
"　紀の川市","23170.0","…","…","390.0","3020.0","11650.0","6720.0","1090.0","310.0"
"　岩 出 市","20520.0","…","…","150.0","1360.0","6210.0","8610.0","3180.0","1000.0"
"","","","","","","","","",""
"　かつらぎ町","6290.0","…","…","10.0","600.0","3120.0","1420.0","1040.0","100.0"
"　有田川町","9650.0","…","…","420.0","1790.0","4530.0","2040.0","850.0","10.0"
"　白 浜 町","9270.0","…","…","390.0","710.0","3610.0","3590.0","780.0","190.0"
"　那智勝浦町","7520.0","…","…","370.0","1560.0","3420.0","1310.0","560.0","300.0"
"　串 本 町","8170.0","…","…","350.0","2150.0","4320.0","1030.0","160.0","150.0"
